movieId,Title,genres,Poster
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
8,Tom and Huck (1995),Adventure|Children,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
13,Balto (1995),Adventure|Animation|Children,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
27,Now and Then (1995),Children|Drama,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
34,Babe (1995),Children|Drama,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
38,It Takes Two (1995),Children|Comedy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
54,"Big Green, The (1995)",Children|Comedy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
87,Dunston Checks In (1996),Children|Comedy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
158,Casper (1995),Adventure|Children,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
241,Fluke (1995),Children|Drama,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
243,Gordy (1995),Children|Comedy|Fantasy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
244,Gumby: The Movie (1995),Animation|Children,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
262,"Little Princess, A (1995)",Children|Drama,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
313,"Swan Princess, The (1994)",Animation|Children,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
314,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
343,"Baby-Sitters Club, The (1995)",Children,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
355,"Flintstones, The (1994)",Children|Comedy|Fantasy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
362,"Jungle Book, The (1994)",Adventure|Children|Romance,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
374,Richie Rich (1994),Children|Comedy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
410,Addams Family Values (1993),Children|Comedy|Fantasy,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
421,Black Beauty (1994),Adventure|Children|Drama,https://moviereelist.com/wp-content/uploads/2019/07/poster-placeholder.jpg
